pl_name,hostname,discoverymethod,disc_facility,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_insol,st_mass,st_teff,st_rad,st_met,sy_dist
Kepler-1321 b,Kepler-1321,Transit,Kepler,4.92,0.6,-0.61,11.12830484,13.547,0.54,4094.0,0.53,-0.45,769.146
Kepler-1599 b,Kepler-1599,Transit,Kepler,1.62,0.33,-0.23,122.363553,8.196,0.99,5767.0,0.99,0.02,1328.2
Kepler-219 c,Kepler-219,Transit,Kepler,3.58,0.6,-0.6,22.714613,54.105,1.164,5786.0,1.491,0.36,787.07
Kepler-1790 b,Kepler-1790,Transit,Kepler,3.1446145,,,31.58889961,49.2,1.02,5866.0,1.367,0.0,1070.17
HATS-35 b,HATS-35,Transit,HATSouth,16.409976,0.773421,-0.493196,1.8209993,2440.7,1.317,6300.0,1.433,0.21,514.555
Kepler-112 c,Kepler-112,Transit,Kepler,2.4,0.58,-0.58,28.574263,24.255,0.782,5544.0,0.841,-0.5221,513.206
Kepler-165 b,Kepler-165,Transit,Kepler,2.32,1.41,-1.41,8.180848,59.799,0.746,5211.0,0.77,-0.25,560.885
WASP-92 b,WASP-92,Transit,SuperWASP,16.376349,0.863093,-0.863093,2.1746742,1622.2528,1.19,6280.0,1.341,0.0,575.889
Kepler-1290 b,Kepler-1290,Transit,Kepler,1.42,0.21,-0.13,4.69500134,443.221,0.95,5660.0,0.93,-0.02,1593.7
Kepler-1025 b,Kepler-1025,Transit,Kepler,1.98,0.41,-0.22,37.3229493,17.952,1.09,6089.0,1.13,-0.03,803.776
Kepler-1679 b,Kepler-1679,Transit,Kepler,2.0692036,,,9.75376,103.3,0.96,5501.0,0.873196,-0.04,909.28
Kepler-350 c,Kepler-350,Transit,Kepler,3.1,1.42,-0.6,17.849,138.415,1.0,6492.3,1.25,0.041,956.859
Kepler-773 b,Kepler-773,Transit,Kepler,1.43,0.09,-0.07,3.749100061,490.707,1.04,5850.0,1.01,0.05,547.026
TOI-912 b,TOI-912,Transit,Transiting Exoplanet Survey Satellite (TESS),1.93,0.13,-0.13,4.6780691,15.0,0.418,3572.0,0.419,-0.19,26.1072
Kepler-630 b,Kepler-630,Transit,Kepler,3.18,0.34,-0.34,161.4743937,5.568,1.02,5829.0,1.04,0.03,839.784
Kepler-874 b,Kepler-874,Transit,Kepler,3.94,1.07,-0.59,40.0686727,31.624,1.09,6020.0,1.13,0.03,1082.16
EPIC 220492298 b,EPIC 220492298,Transit,K2,0.99,0.1,-0.1,0.762406,,0.95,5620.0,0.89,0.28,624.512
Kepler-1948 b,Kepler-1948,Transit,Kepler,1.03283226,,,15.57129955,5.98,0.585,3872.0,0.557,0.12,193.903
Kepler-196 c,Kepler-196,Transit,Kepler,2.24,0.17,-0.17,47.427737,6.88,0.839,5128.0,0.782,0.03,451.312
HAT-P-18 b,HAT-P-18,Transit,HATNet,11.153,0.583,-0.583,5.508023,82.2407,0.77,4803.0,0.749,0.1,161.4
